TIME,CH1
-1.88E-04,0
-1.88E-04,0
-1.88E-04,0
-1.88E-04,0
-1.88E-04,0
-1.88E-04,0.004
-1.88E-04,0
-1.88E-04,0.008
-1.88E-04,0
-1.88E-04,0.004
-1.88E-04,0
-1.88E-04,0.004
-1.88E-04,0
-1.88E-04,0.004
-1.88E-04,0.004
-1.88E-04,0.004
-1.88E-04,0.004
-1.88E-04,0.004
-1.88E-04,0
-1.88E-04,0.004
-1.88E-04,0
-1.88E-04,0.008
-1.88E-04,0
-1.87E-04,0.008
-1.87E-04,0.004
-1.87E-04,0
-1.87E-04,0
-1.87E-04,0.004
-1.87E-04,0.004
-1.87E-04,0
-1.87E-04,0.004
-1.87E-04,0
-1.87E-04,0.004
-1.87E-04,0.004
-1.87E-04,0.004
-1.87E-04,0.004
-1.87E-04,0
-1.87E-04,0.008
-1.87E-04,0.004
-1.87E-04,0
-1.87E-04,0.004
-1.87E-04,0.004
-1.87E-04,0.004
-1.87E-04,0.004
-1.87E-04,0.008
-1.87E-04,0
-1.87E-04,0
-1.87E-04,0.008
-1.86E-04,0
-1.86E-04,0.004
-1.86E-04,0
-1.86E-04,0
-1.86E-04,0
-1.86E-04,0
-1.86E-04,0
-1.86E-04,0
-1.86E-04,0.008
-1.86E-04,0.004
-1.86E-04,0.004
-1.86E-04,0
-1.86E-04,0
-1.86E-04,0.004
-1.86E-04,0.004
-1.86E-04,0
-1.86E-04,0
-1.86E-04,0
-1.86E-04,0.008
-1.86E-04,0.008
-1.86E-04,0
-1.86E-04,0
-1.86E-04,0
-1.86E-04,0.004
-1.86E-04,0
-1.85E-04,0.004
-1.85E-04,0
-1.85E-04,0
-1.85E-04,0
-1.85E-04,0.004
-1.85E-04,0
-1.85E-04,0
-1.85E-04,0
-1.85E-04,0.004
-1.85E-04,0.004
-1.85E-04,0
-1.85E-04,0
-1.85E-04,0.004
-1.85E-04,0
-1.85E-04,0.008
-1.85E-04,0
-1.85E-04,0.008
-1.85E-04,0.004
-1.85E-04,0
-1.85E-04,0
-1.85E-04,0
-1.85E-04,0
-1.85E-04,0
-1.85E-04,0.008
-1.85E-04,0.004
-1.84E-04,0
-1.84E-04,0.008
-1.84E-04,0
-1.84E-04,0
-1.84E-04,0.004
-1.84E-04,0.004
